date,hamilton,average
7/19/2015,1289444,907573
7/26/2015,1303530,907573
8/2/2015,1492177,907573
8/9/2015,1256309,907573
8/16/2015,1460646,907573
8/23/2015,1458083,907573
8/30/2015,1550342,907573
9/6/2015,1700150,907573
9/13/2015,1564474,907573
9/20/2015,1548150,907573
9/27/2015,1570296,907573
10/4/2015,1480991,907573
10/11/2015,1677886,907573
10/18/2015,1478697,907573
10/25/2015,1489051,907573
11/1/2015,1592532,907573
11/8/2015,1769412,907573
11/15/2015,1593752,907573
11/22/2015,1448437,907573
11/29/2015,1830946,907573
12/6/2015,1612871,907573
12/13/2015,1638801,907573
12/20/2015,1657755,907573
12/27/2015,1843899,907573
1/3/2016,1958246,907573
1/10/2016,1711447,907573
1/17/2016,1767970,907573
1/24/2016,1303768,907573
1/31/2016,1731292,907573
2/7/2016,1772673,907573
2/14/2016,1793705,907573
2/21/2016,1752493,907573
2/28/2016,1756583,907573
3/6/2016,1766223,907573
3/13/2016,1758555,907573
3/20/2016,1740104,907573
3/27/2016,1719570,907573
4/3/2016,1822594,907573
4/10/2016,1813655,907573
4/17/2016,1678620,907573
